,user_id,product_id,rating
461,A2B58VXLLOFQKR,B0002CZVI2,5.0
9735,AJUXP5GEE2VRP,B007T8OGLK,5.0
2463,A3FMD34MRUJJ3I,B0002GTZR6,4.0
5343,A25ZBYVW8ZINLM,B000PO30QM,5.0
3325,AWQQ1QHCECDJ3,B0002M6CW6,4.0
928,AMGUVF20JAOG8,B0002D0CLM,4.0
9752,A9AETC0WEPZAM,B007XH9432,3.0
8243,A1L2S18BTJE1BZ,B003VWJ2K8,5.0
1487,A2AWJRUEY9IG4B,B0002E1O2M,4.0
1301,AFUXETAHFUXFE,B0002E1G5C,5.0
4906,A2KI91IR3RA7D0,B000KIPUQG,3.0
9333,A3EIML9QZO5NZZ,B005MR6IHK,5.0
1108,AQOQUWM58SGFR,B0002D0N70,5.0
9034,A3RPTP7XINQSKI,B005A09I7Q,3.0
7559,AAPQB8YDQ3RRE,B00352MHGA,5.0
2916,A10KH8EN77ZKWH,B0002H0FMO,5.0
9463,A2FIYXK97CTS6D,B00646MZHK,5.0
3122,AASCUHX7YUC6M,B0002KZE7C,5.0
1564,A136IQFGB01KQB,B0002E2G24,3.0
7002,A1WJBJUQ24G8BU,B001U5PCFM,3.0
3848,A3GHV54CDBCKO4,B0008G26JO,4.0
6450,A25QPZOMZTFFV8,B001E43SK0,2.0
3003,A120FZ2ESIMA63,B0002IHFVM,5.0
355,A1SG6JGU7ISEH3,B0002CZUTM,5.0
7576,A3ZBLSAPZB9LE,B00378GEAM,4.0
1192,ADRAB7F3AI7OL,B0002DV7ZM,5.0
8732,A1ZMV5QSAR8V2L,B004OK1G64,5.0
3390,AYQ46BHSK99YV,B0002OOMU8,5.0
3795,A35Z3TBNCQU3VY,B0007NQH98,5.0
3239,A195EZSQDW3E21,B0002M3OVI,5.0
3427,A19WXFFQMKES6O,B0002OOMW6,5.0
9707,A3EYCAYIIBDXUF,B007T8CUNG,5.0
640,A3DDZ2SENG07MS,B0002CZZW4,5.0
1542,A2QPZKGUDE7RJ4,B0002E1O7W,5.0
1945,A2EZWZ8MBEDOLN,B0002F4VBM,4.0
8924,A3W5BERPNVRXR6,B004Z17008,5.0
6067,A3923UGIPX0QQM,B0013V1BYY,4.0
4733,A2X1F0WUJJP0FC,B000EXIMFI,3.0
2452,AODIJK065X72D,B0002GOK08,5.0
6472,A2NYK9KWFMJV4Y,B001ELP5WM,5.0
9106,AG1ZYSLKQCLMD,B005E0CPNG,3.0
5876,A2W3CLAYZLDPTV,B000XPO0IU,5.0
6019,A2NYK9KWFMJV4Y,B0010GNU9Q,5.0
237,A3EU3ET85O8ZFX,B000165DSM,5.0
7323,A5JC41VQDJVU0,B002HPMTZU,5.0
5129,AMTQJ1ZZ58BO4,B000MWWT6E,3.0
6958,A3QAILPOPQI3TC,B001RNH8YA,4.0
8735,A1Y8BQ5R1SGGVD,B004OU2IQG,5.0
4752,A36IOSZXG6HQAU,B000FZ1KF4,4.0
3338,AMNTZU1YQN1TH,B0002M728Y,5.0
2699,A2M8T1A4O0GS72,B0002GZBLU,5.0
7790,A164BJ2NU1NSJZ,B003AYRBWI,5.0
3139,A3D0PD45BHLXFX,B0002KZE7C,4.0
10170,A2W3CLAYZLDPTV,B00F2PKRJW,5.0
10121,A380AI4SNSJTTY,B00BU9KCXK,5.0
1158,A1TJ393OFP21I8,B0002DUS8E,5.0
8514,A3AOPVQ7EZHTWA,B00466HLXI,5.0
6641,AXX6BZDD8K4JL,B001L8IJ0I,5.0
1379,AMNTZU1YQN1TH,B0002E1H9W,5.0
5813,A2EZWZ8MBEDOLN,B000VZYS66,5.0
5540,AD6FULWPPOJ3R,B000RYPN38,5.0
9761,A2KJY8BRDP8RZP,B007YWHIP2,4.0
6235,A3IKOEE8Z3T6BH,B0018TAITA,5.0
58,AKHWZ3S1UVZAO,B000068NW5,4.0
2488,A3IICSS30MRX9M,B0002GWFEQ,5.0
4291,A1H7JRH18L2BXG,B000BU5V58,5.0
1290,A3EUD541ZM0R0R,B0002E1G5C,5.0
1415,A2F92AOWTIUIB,B0002E1J5E,4.0
9745,A205483DF7XVDE,B007T8OGLK,4.0
275,A1JVHQXG7GST9J,B0002CZSJO,5.0
9137,AZCP5P3BARLS5,B005FKF1PY,3.0
4140,ARID6HRKRWGFW,B000A6GTDG,1.0
3502,A21M5LI1AU7184,B0002Y6BJI,5.0
6620,AT09WGFUM934H,B001JI2KHS,5.0
6502,AMNTZU1YQN1TH,B001FQ74FW,5.0
762,A35XRT4BW4I6UD,B0002D0CAI,5.0
5836,A21M5LI1AU7184,B000WGJ71U,5.0
855,AXWEQHTXQWR7Q,B0002D0CGW,5.0
2881,A3G6KKDMMFQQ5K,B0002H0A3S,3.0
5311,A3J1M5WTA3ST77,B000PO30QM,5.0
7208,A27KQGXAU8Z7OT,B002C741BI,2.0
2339,A1IB42LRNA9QLW,B0002GLDQM,5.0
10159,A31B0LYT2C92SN,B00EIMZG46,5.0
5721,A3NI8JZCL7BZMC,B000VBC5CY,5.0
5556,ARE879SUUYGVP,B000SAC5PA,5.0
2435,AKDQ6O42VUK1U,B0002GML4U,5.0
9435,A1NPG8GYIXYIVY,B005VLWHP4,5.0
4468,A2FFJCRIYMCVCZ,B000E0PPG0,5.0
4585,ATJQOAUHB5XB8,B000EEJF4O,5.0
5700,A3A4UKJUP34E18,B000ULAP4U,5.0
4622,A2Z548GT5948WH,B000EEL50Q,4.0
2984,A1SD1C8XK3Z3V1,B0002IAJ56,5.0
9475,AZJPNK73JF3XP,B00646MZHK,5.0
7342,AAON97IT5IHP2,B002IJK0H4,4.0
10260,A2WA8TDCTGUADI,B00JBIVXGC,4.0
1745,A2J4GBHSDLP4DF,B0002E37G8,3.0
5826,A3KIOG0NDTJ32D,B000W00X1Y,5.0
2611,ANAKK5KNUAP17,B0002GXV3A,5.0
6752,A1HQN6CNAO683Y,B001OLW0J8,5.0
142,A37U8NH2CD9EDX,B000068O4H,4.0
3817,AZBUUKQLYKUCL,B0007ORM0K,5.0
1423,AKT2VSLZHDD81,B0002E1NNM,5.0
5840,A1LQC225SE8UNI,B000WN4J9S,4.0
3989,AUOGMXLRRLVE1,B0009G1E0K,5.0
8137,A35D9ODUCAMF5G,B003VWJ2K8,5.0
2213,A1XXS0OSY2JLHW,B0002GIRP2,5.0
6681,A36C867ZDP30NQ,B001L8PIFW,4.0
7677,A2F2L5F9OWWVY6,B0037ME50Y,5.0
8690,A3775OP5VTX5ON,B004N0MKN8,5.0
1269,A10NJEIG56RHN5,B0002E1G5C,5.0
9603,A1A15ECLHM9BQY,B0073XCZ3C,5.0
7533,A1JTDD2GQ66AOO,B0033P1O6S,5.0
2875,A2D0F87RY5YMHN,B0002H0A3S,5.0
2865,A19SEZVIVAMGVZ,B0002H0A3S,5.0
6544,A8DCZN408QYKC,B001GGYF4E,3.0
5832,A1OZ7F08MNF320,B000WF1AMU,5.0
5970,A2CJVLER896Q7L,B000Y60NFC,5.0
2592,A21N9ACLVOMDLP,B0002GXV2Q,5.0
5523,A17IU5NX3UC84G,B000RY68PA,5.0
2155,A1BTNPMESS99PL,B0002F7K7Y,4.0
348,AN1RO6C6I78YO,B0002CZUTM,5.0
9578,A306YUQBEB2R9T,B0073XCXHA,5.0
657,A1HQN6CNAO683Y,B0002D0096,5.0
1387,A3VIIH9ZNJ823H,B0002E1H9W,5.0
8753,A7KIY7RDFHRN9,B004PFWZHM,5.0
8833,A17CU1D2CWXOHB,B004UNL1P6,5.0
8327,A2XKROL6XBFHT3,B003VWKPHC,5.0
4877,A2BRKLV7FQ1HVS,B000KIPT30,2.0
7153,A3QAILPOPQI3TC,B0027M30Z6,4.0
4833,AW91VDERXXKGT,B000J5Y282,4.0
9977,A3CVZRPQH1PFQ5,B00AK7SKL4,4.0
2070,A3A4UKJUP34E18,B0002F7IN0,5.0
9919,A18X6ZT4AEYVKB,B009MBT68U,5.0
10174,AFS3FQR5JSDVJ,B00F2PKRJW,5.0
7246,AJOK2CO9LSF37,B002EWV8IU,5.0
9693,APN77K8OVE97N,B007Q27BH0,1.0
4324,A1LHMSY3Q46PJS,B000BWEM42,5.0
5634,ALV33FTOC032I,B000UF3SEA,4.0
6587,A3EXWV8FNSSFL6,B001J1JRN0,5.0
7297,A2VWNZNFV8QCP0,B002GYWBKU,2.0
3667,AKT2VSLZHDD81,B0006NDF8A,5.0
7797,A280VP2CL6ZFZZ,B003B01QL8,5.0
9428,AF1I90O6U8VCQ,B005VLR6XC,4.0
1146,A3QAILPOPQI3TC,B0002DUQ04,4.0
9674,A1TJ393OFP21I8,B007PKR3SK,5.0
1691,A2R7B3MUR22USI,B0002E2XCW,5.0
2605,A346EQ2V4W531N,B0002GXV2Q,4.0
9311,A1A45K51O5W6WS,B005M0TKL8,5.0
5841,A36OSNJ4YJSGEP,B000WN4J9S,5.0
277,A2C7BOQVFH1HLE,B0002CZSJO,5.0
3207,A14FMSW73W220M,B0002KZIVY,5.0
6398,A3J7IC7M8ZSXNU,B001AS6OYC,5.0
917,A17VW66OGW0ZKA,B0002D0CLC,3.0
5550,AUUI1FKERRMV2,B000S5V510,5.0
7706,A1SDGIC08LD6BW,B0039HBNMA,5.0
961,A3TM9RWCTMIK42,B0002D0COE,3.0
8564,A9VAK8UG2G5W7,B004FEGXDK,5.0
3497,A3322FTE1MQQGM,B0002Y6BJI,5.0
3429,A38DCVO9SZHW68,B0002OOMW6,5.0
4797,A1ZD690RCXOSB,B000J5UEGQ,4.0
5549,A31B0LYT2C92SN,B000S5V510,5.0
8234,A2D91EJR5M0CUP,B003VWJ2K8,5.0
10218,A146H4KN4LFR60,B00IZCSW3M,5.0
6966,A3E7O9NSS47TE8,B001RNHE30,5.0
8595,AR6CAR106LX2Y,B004FPEF84,5.0
3297,A1L2S18BTJE1BZ,B0002M6CVC,5.0
2819,A14V6CXN8ZWZOS,B0002H0A3S,5.0
6130,A31HQD6H4SHO2C,B0016MJ1T2,5.0
2735,A3CG1XH8G9AFSK,B0002GZM00,5.0
2480,A1SCWHXAB2ZK7N,B0002GWFEQ,5.0
8877,A3FBE4WF5KQRR1,B004XNK7AI,4.0
3670,A1VG6TG6LKBPKP,B0006NDF8A,5.0
242,A35D9ODUCAMF5G,B0001FTVD6,5.0
7372,AA8SWH4Y5SN8H,B002N4GBLI,5.0
203,AXABTEYS7A4A8,B0000AQRSU,5.0
7216,A2U67NUNCRHVO7,B002CMLPYY,5.0
1891,APB6VJX5CNR5C,B0002E51ZS,5.0
3883,A3RDS0DJ5EJGA7,B000978D58,5.0
3293,A16Z3HTUIYPDH8,B0002M6CVC,5.0
7230,A2E9IR4TGNXY6L,B002DYJEMQ,4.0
3216,A2MMH4O7EDNLCV,B0002KZQ34,5.0
10004,A1WJVU9KICHFI,B00AZUAORE,5.0
7745,A39PQ7QR2JFXLV,B003AYEAHC,5.0
976,A2PDPIVN721PZ7,B0002D0CQC,5.0
129,AJ3MI4QT7339J,B000068O3X,5.0
4442,AI9PZHPNTKPI,B000CZ0RHY,5.0
4850,A37KK1CLMULHE4,B000K69V5E,5.0
770,A3QTFLU2ZWH7WS,B0002D0CEO,5.0
3324,A52REIMRM97HV,B0002M6CW6,5.0
6049,A1DUPFUG526MVF,B0011WHG5S,5.0
1533,AAYAXHC63IX1D,B0002E1O7M,5.0
10106,ATPP3IWN4S9PW,B00BU9KCXK,5.0
4190,A2C46HQIZLYJUC,B000ARH3M6,5.0
1012,A1UI4WTBYHYUGD,B0002D0E8S,5.0
38,A1S0HTDO0P4N5V,B000068NVI,5.0
674,A1MM26M78136ZP,B0002D01K4,5.0
2772,A2W7M00WSI4JND,B0002GZTT4,4.0
6950,A21VM9WVF8EOSJ,B001RMFSDE,3.0
8506,ASGRCZLCNBELE,B0044R1M0M,5.0
8894,AOMEH9W6LHC4S,B004XNK7AI,4.0
8986,A1IL0PS2XJB4NS,B0051WAJ5S,4.0
1321,A3D0PD45BHLXFX,B0002E1G5C,4.0
7084,AK7X7IXX7WYNJ,B0025V1REU,5.0
9441,A2WYAHJGST6AOT,B005VLWHP4,5.0
5372,A203OCQQ12MAVT,B000RKAFIU,5.0
8850,A26SN2CVQM4FKM,B004XNK7AI,4.0
366,A278CZM7C2OO8A,B0002CZUUG,3.0
43,A3W2E6S24BTXXK,B000068NW5,5.0
4127,A1MH0P8PE6AT4P,B000A6ASSS,5.0
4652,AKT2VSLZHDD81,B000EELB8W,5.0
6610,AZMHABTPXVLG3,B001J5RYXQ,3.0
8767,A1NAA1R38JSNHV,B004T6M7DE,5.0
7195,A165EMA3YTIM6A,B002C741B8,4.0
9190,A3KKTTJACRWL16,B005FKF1PY,5.0
5916,A2FFJCRIYMCVCZ,B000XPQ1YG,5.0
9608,AAHV0LYDMZGY8,B0078YF9V6,3.0
4368,A2Z7S8B5U4PAKJ,B000CCIVCA,4.0
5454,AOPFMCP5DXUK0,B000RNB720,5.0
7690,A3I23DPVLDXAB2,B00389KMQM,5.0
6693,A2XF1IANVPK7F,B001LJUVO4,3.0
5586,ADH0O8UVJOT10,B000T4PJC6,5.0
3985,A2Y4PRG2HHOL3G,B0009G1E0K,3.0
8581,A1MY8258SXRZ8M,B004FPEF84,5.0
6108,A3N7Y9QXT9LS9C,B0015RIN6U,5.0
10081,A3R6V43G6HAJ0Y,B00BL6JDUA,5.0
1626,A1GM034H7XPDEW,B0002E2KPC,5.0
4979,A2MHK6C40Z54TB,B000KW2YEI,5.0
8812,A165EMA3YTIM6A,B004UJO41S,1.0
885,A17VW66OGW0ZKA,B0002D0CKI,3.0
7379,A1CL807EOUPVP1,B002NG7DEK,5.0
9552,A2Z548GT5948WH,B006H5119Q,5.0
2439,A1CUB195YB9XKO,B0002GOJZO,5.0
2440,A1LQC225SE8UNI,B0002GOJZO,5.0
228,AQZ7HGW2FF4ED,B000165DSM,4.0
5084,A2VDGYUTGIOL86,B000M23OQ8,5.0
8696,A3923UGIPX0QQM,B004N0MKN8,3.0
2441,A1EMD22HC94SI1,B0002GOJZO,5.0
9085,AMCZ6QJGKH110,B005CX4GLE,5.0
2129,AG1ZYSLKQCLMD,B0002F7K7Y,5.0
2056,A2R4YQNCYMS8M7,B0002F7IN0,5.0
4847,A2CJVLER896Q7L,B000K69V5E,5.0
3977,A13IKQCJKFAP5S,B0009G1E0K,5.0
3625,A14BICJ93WO926,B0006IQNCK,5.0
4226,A1LCG14GZJI5LO,B000B6FBA2,5.0
4917,A39TYRIZLTCK9P,B000KIRT38,4.0
414,A3HEV9M5RNFB3V,B0002CZV82,4.0
1223,A3QK723XT3MJXZ,B0002DVBJY,5.0
6854,A1PO2WOQ0LO73Y,B001PGXKC8,5.0
4416,AD5G39PJUJVJ,B000CD1R84,4.0
9859,A194BLXLSNY8SE,B008LMS4MK,4.0
2369,A6VXZ1EEPRTLV,B0002GLDQM,4.0
10224,A3VVKC910FN4EK,B00IZCSW3M,5.0
2352,AE9C0UNXBV8CB,B0002GLDQM,5.0
2870,ASNGOBUI6WHNV,B0002H0A3S,5.0
2751,A1RGF9CS1V8O14,B0002GZM00,2.0
9935,A3P2J1W1RBUX6Q,B009O7CE5O,5.0
6407,AF331KJH45RIH,B001C74GLY,5.0
8733,ADH0O8UVJOT10,B004OK1G64,4.0
2296,A29B4PAIOL7HYG,B0002GLCRC,5.0
4225,ALHC64J88LVWO,B000B6DHB2,5.0
5907,A8L6Z9U1TCP06,B000XPPURU,5.0
6581,A2NYK9KWFMJV4Y,B001IM5KFY,5.0
2261,A2FC9LNES7BVOJ,B0002GL7ZO,5.0
7385,AQG6AQXC703WD,B002PAW6EG,3.0
3344,A3GH47E9FF8WN1,B0002M72JS,5.0
4370,AKP6IWJ24C1A5,B000CCJP4I,4.0
2607,A2WDY3XDWDFNYG,B0002GXV3A,1.0
3462,A37E0KYNJQNP1E,B0002PBS6I,4.0
9020,A13GMS7FWV3TQ0,B0058GZTVG,4.0
8214,A9CQXTVLHQBMA,B003VWJ2K8,5.0
3998,A30GZDBGNP2366,B0009G1E0K,3.0
7185,A20JJ8634DG3FS,B002B8EWVW,3.0
8062,AKLDKUON6YY0X,B003OG9NH8,5.0
8115,A3322FTE1MQQGM,B003VWJ2K8,5.0
2764,A3SGZO3N7MXKPV,B0002GZQ1U,5.0
2506,AXP9CF1UTFRSU,B0002GWFEQ,4.0
2786,A2I9SZ9A7Y3I4G,B0002H02IG,4.0
2228,A1SMCTGDM2LK7X,B0002GJ3ZA,5.0
8909,A3UQS40N3PW18L,B004XNK7AI,5.0
8652,A3GTUNDBLPC00I,B004LG93KC,5.0
4949,A23AKO4BZLZ8DE,B000KIRT74,5.0
6851,A3FSC2BQQHFXWT,B001PGXKC8,5.0
4449,AHF7SNSZPRNCE,B000CZ0RLK,5.0
3693,A6M441DQ7HL09,B0006NDF8A,1.0
1879,A2N7F3MVCTAOYP,B0002E3MRW,2.0
4,A94QU4C90B1AX,1384719342,5.0
8831,A1QN075G0OKBWJ,B004UNL1P6,5.0
7319,A2QDVOUXE4PYIM,B002HPMTZU,5.0
600,A1L7M2JXN4EZCR,B0002CZW0Y,5.0
7568,A21GCOGHDQNHQS,B0035LCFRW,5.0
307,A3BH9XC0BVO1AG,B0002CZSJY,4.0
2894,A36P367G4ZH6Z0,B0002H0A3S,5.0
3802,A3GSBNVP2LPFRB,B0007NQH98,5.0
8699,A1SMCTGDM2LK7X,B004N0MKN8,4.0
3680,A2Z548GT5948WH,B0006NDF8A,4.0
5733,A38HMS5RYSYF8G,B000VBH2IG,5.0
8420,A37A41GWQFMK3D,B003WZ6VVM,5.0
8844,A14B2YH83ZXMPP,B004VDD4KK,5.0
3566,ALYZ6K2FC7VZC,B00062GRXQ,5.0
10083,A120FZ2ESIMA63,B00BL6JDUA,5.0
8285,A26E1V45R24QVC,B003VWKPHC,5.0
1154,A1MI9FDCNB3CMR,B0002DURNK,5.0
2185,AXJ19189TLBLJ,B0002F7K7Y,5.0
2657,A1WD8RFNIGRPDH,B0002GYW4C,5.0
5762,A1XXS0OSY2JLHW,B000VJJQUU,5.0
6229,A1QDSJZQWJZOL1,B0018SJLFS,4.0
1553,AZMHABTPXVLG3,B0002E1OVS,4.0
2508,A3HKZSCGFU9T2A,B0002GWFEQ,4.0
4834,AFS3FQR5JSDVJ,B000J5Y282,5.0
4317,A3BTH66WVCQAM9,B000BW2D84,5.0
8499,A1L3H6SSKSRNGV,B0043RZ9QQ,3.0
1443,A3RDS0DJ5EJGA7,B0002E1O2C,5.0
6930,A4S2GMZIQKEHY,B001R76D42,5.0
202,A32E8LG6I4W2AI,B0000AQRST,4.0
6734,ATLCEY1YIP1DG,B001MSS6CS,4.0
2227,A20TFY5J3WNJU2,B0002GJ3ZA,5.0
7213,A1EFXXRDV40C4E,B002CMLPYY,5.0
3118,A1365RYO0BLEMI,B0002KZDN2,3.0
6907,A1ZGNCN1VRUO1H,B001QJGYIG,5.0
720,AOHR2Q90UXF23,B0002D05FU,5.0
4587,A1NJMJNF0MOBSL,B000EEJF4O,5.0
2891,A28X8QQ97HM6CX,B0002H0A3S,5.0
734,A13798OPDBLDCO,B0002D0B4K,5.0
9561,A2053ZJUGCKUA5,B006X0UCKY,5.0
6359,ARE879SUUYGVP,B00191WVF6,5.0
2120,A3FBE4WF5KQRR1,B0002F7K7Y,5.0
3510,A3RPTP7XINQSKI,B0002Z2CZY,4.0
9773,A3C9F3SZWLWDZF,B0087UPSLQ,4.0
8830,APEJ8EJCC8PQ8,B004UNL1P6,4.0
5091,A2TZAS3A5WIUJQ,B000M23OQ8,5.0
105,A3UPEG3LRWOX16,B000068O1N,4.0
9800,A2VRAT69JDAD3W,B008BPI2HE,5.0
3590,A2F92AOWTIUIB,B00063678K,5.0
7774,A1YP96MT6W9FTB,B003AYNHGW,5.0
4902,A2EZWZ8MBEDOLN,B000KIPTE4,5.0
7563,A1WQNVR4H66YX9,B0035LCFRW,4.0
1435,A24AQ24CD6865K,B0002E1NQ4,5.0
4663,A2B3XQ4FCJTKHQ,B000EELB8W,5.0
5180,AJ0PG46QD33RD,B000NJ2TIE,5.0
9703,A1VHYBN1NV73LZ,B007Q28BHE,5.0
2397,A2LJ6YNOZU6ND,B0002GMGYA,1.0
965,A14PY68SX7D5DV,B0002D0COE,5.0
